,,,BRISK,,,BRIEF,,,FREAK,,,SIFT,,,ORB,
Detector,Frame,ttcLidar,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera
,4,13.9161,196,12.6231,,217,12.4078,,187,15.1554,,233,18.5535,,192,13.3717
,5,7.11572,171,15.4142,,206,21.8235,,156,13.7771,,198,18.1289,,151,17.1115
,6,16.2511,142,24.3622,,181,25.9018,,142,24.3548,,185,35.743,,150,21.7348
,7,12.4213,154,15.5723,,178,19.1942,,150,14.0213,,175,13.8733,,148,16.2625
,8,34.3404,163,18.2141,,194,17.9009,,165,14.1516,,192,16.0293,,168,19.6374
,9,9.34376,161,16.7644,,183,18.3884,,160,16.7715,,179,19.1502,,164,14.5792
,10,18.1318,170,14.5542,,190,14.9617,,163,18.63,,193,16.3855,,162,12.53
,11,18.0318,174,14.1459,,196,12.0464,,167,13.0642,,196,13.8178,,178,12.647
,12,3.83244,162,13.1319,,183,11.5343,,159,12.3543,,190,12.6123,,168,13.4766
,13,-10.8537,189,11.4977,,229,14.1488,,195,12.6028,,232,13.7791,,195,10.8152
,14,9.22307,184,12.867,,206,12.8926,,174,12.6106,,210,12.9113,,175,11.8406
,15,10.9678,178,11.7509,,207,10.3194,,164,11.7987,,209,10.7044,,188,11.5098
,16,8.09422,186,12.5183,,220,11.1036,,176,12.295,,223,13.2084,,193,12.1586
,17,3.17535,188,10.3576,,225,12.8277,,190,10.1165,,214,10.4902,,181,10.8073
,18,-9.99424,207,9.4183,,260,11.1959,,202,8.85562,,267,10.5661,,214,9.88938
,19,8.30978,210,10.5361,,242,9.5183,,198,10.5879,,251,13.8708,,213,10.763
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,BRISK,,,BRIEF,,,FREAK,,,SIFT,,,ORB,
,Frame,ttcLidar,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera,,Matches,ttcCamera
ORB,2,12.9722,47,17.4836,,51,16.4808,,27,11.9371,,61,17.3741,,50,24.7809
,3,12.624,50,15.5366,,54,16.969,,35,25.2016,,52,11.2445,,55,10.6668
,4,13.9161,65,19.2234,,70,30.925,,41,17.5368,,63,19.2234,,66,13.2211
,5,7.11572,58,21.3012,,61,25.2172,,34,11.2797,,55,-inf,,53,22.1695
,6,16.2511,55,73.2489,,59,25.429,,37,52.139,,74,66.8315,,54,25.7718
,7,12.4213,68,12.6176,,74,18.2578,,47,35.7942,,66,20.7201,,67,10.7979
,8,34.3404,72,17.36,,78,40.0236,,37,127.591,,67,17.6169,,65,40.3549
,9,9.34376,62,11.1,,72,31.8478,,36,9.38588,,65,10.8638,,68,10.8688
,10,18.1318,59,11.9786,,52,70.7145,,35,13.3292,,57,11.5065,,60,18.651
,11,18.0318,63,13.3055,,62,10.8526,,33,-545.044,,50,11.1031,,55,14.6914
,12,3.83244,51,8.49484,,53,10.4394,,31,8.40781,,50,9.20223,,53,9.00578
,13,-10.8537,54,5416.2,,63,16.6093,,22,35.8486,,55,-inf,,56,-inf
,14,9.22307,54,8.33753,,58,10.7998,,32,7.03048,,62,9.72486,,57,9.26406
,15,10.9678,58,9.26013,,69,8.40597,,39,55.7876,,63,26.1349,,67,11.4725
,16,8.09422,48,8.85869,,56,10.5289,,31,8.72363,,47,24.6352,,52,12.9444
,17,3.17535,63,9.37082,,70,13.4955,,42,11.1021,,63,10.9804,,63,9.54136
,18,-9.99424,61,17.2956,,72,18.7607,,39,-inf,,54,18.7334,,69,25.6425
