,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BRISK Descriptor,,,,,BRIEF Descriptor,,,,,FREAK Descriptor,,,,,SIFT Descritptor,,,,,ORB Descriptor,,,
,keypoints,keypoints of front vehicle,Time(ms),,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total
,1793,149,1.0025,,1.80932,98,0.705489,3.517309,,1.37757,126,1.7852,4.16527,,52.0929,98,0.805186,53.900586,,31.9758,120,1.12554,34.10384,,1.15495,126,0.718866,2.876316
,1796,150,0.904304,,2.02637,86,0.722785,3.653459,,1.30586,109,0.668093,2.878257,,44.8502,86,0.964275,46.718779,,51.2795,115,1.14703,53.330834,,1.1641,107,0.66232,2.730724
,1788,157,1.05059,,1.82709,108,0.705734,3.583414,,2.76483,124,3.663,7.47842,,43.5599,100,0.753726,45.364216,,41.2666,119,1.19918,43.51637,,1.2677,123,0.703974,3.022264
,1695,152,1.03309,,2.71842,108,0.702978,4.454488,,1.54464,132,3.09683,5.67456,,43.3292,104,0.756081,45.118371,,42.7147,124,1.17792,44.92571,,1.25057,123,0.723315,3.006975
,1749,139,0.98784,,1.68227,100,0.652591,3.322701,,2.77075,125,3.00399,6.76258,,43.5191,101,0.69269,45.19963,,48.4897,118,1.06699,50.54453,,1.44406,123,0.66594,3.09784
,1770,144,0.893494,,1.98511,100,0.61934,3.497944,,1.40908,120,2.00616,4.308734,,47.8994,105,0.652965,49.445859,,41.3878,104,1.02549,43.306784,,1.13732,120,0.617417,2.648231
,17874,1501,10.452968,,22.72596,904,6.314842,39.49377,,31.45168,1106,26.271511,68.176159,,464.1402,884,6.87954,481.472708,,417.7633,1054,10.34204,438.558308,,27.73913,1080,6.286049,44.478147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,keypoints,keypoints of front vehicle,Time(ms),,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total,,Time(ms),Matches,Matcher Time(ms),Total
BRISK,2757,254,55.1175,,3.93372,,,59.05122,,2.13433,,,57.25183,,130.449,,,185.5665,,95.5435,,,150.661,,6.43971,,,61.55721
